Ir,アイアール
着るっ丈,キルッタケ
切れ続き,キレツヅキ
切れ離れ,キレハナレ
kΩ,キロオーム
kg,キログラム
kb,キロバイト
キロビツト,キロビット
kHz,キロヘルツ
KV,キロボルト
kw,キロワット
極書き,キワメガキ
極付き,キワメツキ
極め付け,キワメツケ
極札,キワメフダ
金合わせ,キンアワセ
金隠し,キンカクシ
緊急,キンキュウ
近況,キンキョウ
琴曲,キンキョク
金牛,キンギュウ
近業,キンギョウ
金玉,キンギョク
金銀鍍,キンギント
キンギーラ,キンギーラ
Kingdom,キングダム
キングリー,キングリー
キンケリバ,キンケリバ
金鯱,キンシャチ
錦繡,キンシュウ
謹粛,キンシュク
金賞,キンショウ
菌食,キンショク
金雀,キンジャク
近習,キンジュウ
錦上,キンジョウ
禁じ技,キンジワザ
近着,キンチャク
筋注,キンチュウ
錦帳,キンチョウ
謹直,キンチョク
芹菜,キンツァイ
金運び,キンハコビ
勤評,キンヒョウ
金光り,キンビカリ
金屏,キンビョウ
金瓢,キンピョウ
金襖,キンブスマ
金脈,キンミャク
金龍,キンリュウ
金量,キンリョウ
金緑,キンリョク
キーノート,キーノート
キーピスト,キーピスト
Keeping,キーピング
キーボード,キーボード
ギアーマン,ギアーマン
Gb,ギガバイト
Gbit,ギガビット
GHz,ギガヘルツ
ギガンテス,ギガンテス
ギターリスト,ギタリスト
ギチャファ,ギチャファ
毬杖,ギッチョウ
ギニョール,ギニョール
ギムレット,ギムレット
ギメラシル,ギメラシル
逆悪,ギャクアク
逆足,ギャクアシ
逆運,ギャクウン
逆縁,ギャクエン
逆型,ギャクカタ
逆側,ギャクガワ
逆切れ,ギャクギレ
逆軍,ギャクグン
逆言,ギャクゲン
虐殺,ギャクサツ
逆算,ギャクサン
逆鞘,ギャクザヤ
逆産,ギャクザン
逆修,ギャクシュ
逆進,ギャクシン
逆推,ギャクスイ
逆数,ギャクスウ
逆成,ギャクセイ
逆説,ギャクセツ
逆送,ギャクソウ
逆賊,ギャクゾク
虐待,ギャクタイ
逆玉,ギャクタマ
逆探,ギャクタン
逆転,ギャクテン
逆徳,ギャクトク
逆胴,ギャクドウ
逆止め,ギャクドメ
逆梁,ギャクバリ
逆筆,ギャクヒツ
逆引き,ギャクビキ
逆風,ギャクフウ
逆ぶれ,ギャクブレ
逆法,ギャクホウ
逆謀,ギャクボウ
逆向き,ギャクムキ
逆用,ギャクヨウ
逆蓮,ギャクレン
逆浪,ギャクロウ
ギャザード,ギャザード
逆行,ギャッコウ
ギャバジン,ギャバジン
ギャバロン,ギャバロン
Gallery,ギャラリー
ギャルゲー,ギャルゲー
ギャルソン,ギャルソン
ギャロップ,ギャロップ
ギャンブル,ギャンブル
牛飲,ギュウイン
牛疫,ギュウエキ
牛角,ギュウカク
牛肩,ギュウカタ
牛革,ギュウカワ
牛缶,ギュウカン
牛群,ギュウグン
牛鶏,ギュウケイ
牛権,ギュウケン
牛耕,ギュウコウ
牛骨,ギュウコツ
牛細,ギュウコマ
牛鮭,ギュウサケ
牛塩,ギュウシオ
牛車,ギュウシャ
牛種,ギュウシュ
牛筋,ギュウスジ
牛牲,ギュウセイ
牛舌,ギュウタン
牛鼎,ギュウテイ
牛痘,ギュウトウ
牛綴じ,ギュウトジ
牛トロ,ギュウトロ
牛豚,ギュウトン
牛丼,ギュウドン
牛鍋,ギュウナベ
牛肉,ギュウニク
牛肺,ギュウハイ
牛糞,ギュウフン
牛豚,ギュウブタ
牛飯,ギュウメシ
牛もつ,ギュウモツ
牛酪,ギュウラク
ギュウーズ,ギュウーズ
暁闇,ギョウアン
凝姻,ギョウイン
暁雲,ギョウウン
曉烟,ギョウエン
行改,ギョウカイ
行替え,ギョウカエ
行革,ギョウカク
行間,ギョウカン
行書き,ギョウガキ
行学,ギョウガク
行側,ギョウガワ
行願,ギョウガン
暁空,ギョウクウ
行啓,ギョウケイ
凝血,ギョウケツ
曉月,ギョウゲツ
行幸,ギョウコウ
行乞,ギョウコツ
行香,ギョウゴウ
業際,ギョウサイ
業者,ギョウシャ
業種,ギョウシュ
行書,ギョウショ
行信,ギョウシン
行実,ギョウジツ
行者,ギョウジャ
行数,ギョウスウ
行水,ギョウズイ
行政,ギョウセイ
行跡,ギョウセキ
曉雪,ギョウセツ
仰瞻,ギョウセン
形裝,ギョウソウ
業態,ギョウタイ
業通,ギョウツウ
業体,ギョウテイ
業転,ギョウテン
行伝,ギョウデン
行頭,ギョウトウ
行道,ギョウドウ
行年,ギョウネン
業俳,ギョウハイ
業販,ギョウハン
行服,ギョウフク
行佛,ギョウブツ
業法,ギョウホウ
翹望,ギョウボウ
行末,ギョウマツ
驍名,ギョウメイ
驍勇,ギョウユウ
業容,ギョウヨウ
楽欲,ギョウヨク
行力,ギョウリキ
凝立,ギョウリツ
行礼,ギョウレイ
業歴,ギョウレキ
行列,ギョウレツ
漁況,ギョキョウ
漁業,ギョギョウ
玉案,ギョクアン
玉影,ギョクエイ
玉淵,ギョクエン
玉音,ギョクオン
玉顔,ギョクガン
玉砕,ギョクサイ
玉山,ギョクザン
玉室,ギョクシツ
玉車,ギョクシャ
玉珠,ギョクシュ
玉塵,ギョクジン
玉髄,ギョクズイ
玉製,ギョクセイ
玉石,ギョクセキ
玉泉,ギョクセン
玉爪,ギョクソウ
玉躰,ギョクタイ
玉代,ギョクダイ
玉枕,ギョクチン
玉笛,ギョクテキ
玉殿,ギョクデン
玉頭,ギョクトウ
玉堂,ギョクドウ
玉杯,ギョクハイ
玉帛,ギョクハク
玉片,ギョクヘン
玉門,ギョクモン
玉葉,ギョクヨウ
玉蘭,ギョクラン
玉類,ギョクルイ
玉楼,ギョクロウ
魚臭,ギョシュウ
魚醬,ギョショウ
魚食,ギョショク
魚場,ギョジョウ
魚鳥,ギョチョウ
玉膾,ギョッカイ
玉琴,ギョッキン
玉稿,ギョッコウ
魚病,ギョビョウ
魚竜,ギョリュウ
漁猟,ギョリョウ
ギョーシェ,ギョーシェ
ギルティー,ギルティー
ギルニョン,ギルニョン
ギルバート,ギルバート
ギルランデ,ギルランデ
銀鏡,ギンキョウ
吟曲,ギンキョク
銀狐,ギンギツネ
ギンコール,ギンコール
銀賞,ギンショウ
銀色,ギンショク
吟釀,ギンジョウ
銀遣い,ギンヅカイ
銀流し,ギンナガシ
銀鼠,ギンネズミ
銀票,ギンピョウ
銀やんま,ギンヤンマ
銀緑,ギンリョク
クアオルト,クアオルト
クアゼパム,クアゼパム
クアッフル,クアッフル
クワデルノ,クアデルノ
クアドルラ,クアドルラ
クアハウス,クアハウス
クワレージマ,クアレジマ
クアンソウ,クアンソウ
クアーリア,クアーリア
食い余し,クイアマシ
食合せ,クイアワセ
食い比べ,クイクラベ
食い盛り,クイザカリ
食い仕掛け,クイジカケ
食い倒れ,クイダオレ
食い違い,クイチガイ
クイッキー,クイッキー
クイッケン,クイッケン
食い潰し,クイツブシ
食い悪阻,クイヅワリ
クエッティオ,クイティオ
食いはぐれ,クイハグレ
クイブラー,クイブラー
食い料,クイリョウ
食い別れ,クイワカレ
クウィーニー,クイーニー
KUWAIT,クウェート
空行,クウギョウ
空襲,クウシュウ
空相,クウショウ
空城,クウジョウ
空中,クウチュウ
空調,クウチョウ
空力,クウリョク
クエンガリ,クエンガリ
クエーカー,クエーカー
クエーサー,クエーサー
クオンタム,クオンタム
クオーター,クオーター
句歌集,クカシュウ
茎若布,クキワカメ
釘隠し,クギカクシ
釘応え,クギゴタエ
釘作り,クギヅクリ
ククミシン,ククミシン
括り糸,ククリイト
括り猿,ククリザル
括り染め,ククリゾメ
括紐,ククリヒモ
括り罠,ククリワナ
括れ顎,ククレアゴ
傀儡谷,クグツダニ
潜り際,クグリギワ
潜り口,クグリグチ
潜門,クグリモン
草いきれ,クサイキレ
クサウロン,クサウロン
草削り,クサケズリ
草虱,クサジラミ
草相撲,クサズモウ
草黄,クサノオウ
草運び,クサハコビ
草雲雀,クサヒバリ
楔穴,クサビアナ
楔形,クサビガタ
草箒,クサボウキ
草枕,クサマクラ
臭み消し,クサミケシ
臭み抜き,クサミヌキ
草むしり,クサムシリ
草紅葉,クサモミジ
草屋敷,クサヤシキ
鎖編み,クサリアミ
鎖金,クサリガネ
鎖鎌,クサリガマ
鎖橋,クサリバシ
鎖引き,クサリヒキ
鎖蛇,クサリヘビ
腐れ芋,クサレイモ
腐れ縁,クサレエン
腐れ豚,クサレブタ
串鮑,クシアワビ
櫛井守,クシイモリ
櫛飾り,クシカザリ
櫛水母,クシクラゲ
籤逃れ,クジノガレ
鯨帯,クジラオビ
鯨組,クジラグミ
鯨雲,クジラグモ
鯨差し,クジラザシ
鯨寿司,クジラズシ
鯨塚,クジラヅカ
鯨捕り,クジラトリ
鯨墓,クジラバカ
鯨鬚,クジラヒゲ
鯨幕,クジラマク
久慈良餅,クジラモチ
クスイムン,クスイムン
くすみ色,クスミイロ
くすみ消し,クスミケシ
くすみ取り,クスミトリ
くすみ肌,クスミハダ
薬入り,クスリイリ
薬入れ,クスリイレ
薬売り,クスリウリ
薬猟,クスリガリ
薬食い,クスリグイ
薬代,クスリダイ
薬棚,クスリダナ
薬漬け,クスリヅケ
薬箱,クスリバコ
薬鉢,クスリバチ
薬瓶,クスリビン
薬風呂,クスリブロ
薬盆,クスリボン
薬負け,クスリマケ
薬指,クスリユビ
葛蔓,クズカズラ
屑車,クズグルマ
葛桜,クズザクラ
崩し書き,クズシガキ
崩し舞,クズシマイ
葛叩き,クズタタキ
葛袴,クズバカマ
崩れ顔,クズレガオ
糞親父,クソオヤジ
糞女,クソオンナ
糞爺,クソジジイ
糞力,クソヂカラ
糞婆,クソババア
苦蛇狐,クダギツネ
砕け波,クダケナミ
砕米,クダケマイ
下文,クダシブミ
管使い,クダツカイ
管柱,クダバシラ
果物屋,クダモノヤ
下り飴,クダリアメ
下り鮎,クダリアユ
下り坂,クダリザカ
下り線,クダリセン
下り腹,クダリバラ
下り道,クダリミチ
口当り,クチアタリ
口移し,クチウツシ
口固め,クチガタメ
口構え,クチガマエ
口薬,クチグスリ
口車,クチグルマ
口言葉,クチコトバ
口答え,クチゴタエ
口触り,クチザワリ
口凌ぎ,クチシノギ
口漱ぎ,クチススギ
口窄め,クチスボメ
口遊み,クチズサミ
口造り,クチヅクリ
口伝え,クチヅタエ
口年増,クチトシマ
口直し,クチナオシ
口馴らし,クチナラシ
口開き,クチビラキ
口封じ,クチフウジ
口減らし,クチベラシ
口任せ,クチマカセ
クチュリエ,クチュリエ
クチュール,クチュール
口汚し,クチヨゴシ
クッカバーラ,クッカバラ
屈強,クッキョウ
屈曲,クッキョク
Cooking,クッキング
クッション,クッション
靴洗い,クツアライ
靴選び,クツエラビ
沓冠,クツカブリ
屈従,クツジュウ
屈譲,クツジョウ
屈辱,クツジョク
靴姿,クツスガタ
靴作り,クツヅクリ
靴直し,クツナオシ
靴袋,クツブクロ
靴磨き,クツミガキ
轡虫,クツワムシ
句読点,クトウテン
口説き節,クドキブシ
クドードー,クドードー
区内外,クナイガイ
国表,クニオモテ
国構え,クニガマエ
国言葉,クニコトバ
国境い,クニザカイ
クニジウム,クニジウム
国神,クニツカミ
国造り,クニツクリ
国尽し,クニヅクシ
国訛り,クニナマリ
国任せ,クニマカセ
国祭,クニマツリ
クニャージ,クニャージ
国譲り,クニユズリ
クネプフラ,クネプフラ
クネーデル,クネーデル
配り物,クバリモノ
首飾り,クビカザリ
首固め,クビガタメ
首縊り,クビククリ
首座り,クビスワリ
首っ玉,クビッタマ
首祭,クビマツリ
首廻り,クビマワリ
窪み音,クボミオン
熊送り,クマオクリ
熊男,クマオトコ
隈女,クマオンナ
隈隠し,クマカクシ
句跨がり,クマタガリ
熊使い,クマツカイ
熊葛,クマツヅラ
熊鼠,クマネズミ
熊蛍,クマボタル
熊祭り,クママツリ
熊柳,クマヤナギ
熊鎧,クマヨロイ
熊ん蜂,クマンバチ
組合わせ,クミアワセ
組踊り,クミオドリ
組頭,クミガシラ
組曲,クミキョク
くみざらし,クミザラシ
組中,クミジュウ
組違い,クミチガイ
組長,クミチョウ
組ねぶた,クミネブタ
組み戻し,クミモドシ
組屋敷,クミヤシキ
組ヤスリ,クミヤスリ
雲隠れ,クモガクレ
蜘蛛絞り,クモシボリ
蜘蛛海星,クモヒトデ
曇り顔,クモリガオ
曇り雲,クモリグモ
曇り声,クモリゴエ
曇空,クモリゾラ
曇り止め,クモリドメ
悔し泣き,クヤシナキ
クライアー,クライアー
クリシス,クライシス
クライスツ,クライスツ
位相附,クライヅケ
位取り,クライドリ
位負け,クライマケ
クライマー,クライマー
クライング,クライング
クラウセナ,クラウセナ
鞍覆い,クラオオイ
鞍飾り,クラカザリ
苦楽受,クラクジュ
海月粥,クラゲガユ
蔵浚え,クラザラエ
Classic,クラシック
暮らし向き,クラシムキ
クラスター,クラスター
クラスリン,クラスリン
クラツカー,クラッカー
クラッシュ,クラッシュ
クラッシー,クラッシー
クラッター,クラッター
鞍作り,クラツクリ
鞍作り,クラヅクリ
蔵之助,クラノスケ
鞍ハマリ,クラハマリ
クラバット,クラバット
蔵払い,クラバライ
クラヴィゲラ,クラビゲラ
蔵開き,クラビラキ
グラビング,クラビング
クラヴィーア,クラビーア
クラフティー,クラフティ
クラヴサン,クラブサン
競べ馬,クラベウマ
較べ物,クラベモノ
クラミジア,クラミジア
クラミュス,クラミュス
蔵屋敷,クラヤシキ
クラライア,クラライア
クラリオン,クラリオン
クラレット,クラレット
倉渡し,クラワタシ
クランブル,クランブル
クランポン,クランポン
クラークズ,クラークズ
